Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Language of Original Document,Document Type,Publication Stage,Open Access,Source,EID
"Singer F.M., Voica C.","23568561700;6507530381;","A problem-solving conceptual framework and its implications in designing problem-posing tasks",2013,"Educational Studies in Mathematics","83","1",,"9","26",,44,"10.1007/s10649-012-9422-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84876198952&doi=10.1007%2fs10649-012-9422-x&partnerID=40&md5=955c8abf82732c6252b27dfb829214b7","University of Ploiesti, 39 Bucuresti Street, 100680 Ploiesti, Romania; Institute of Education Sciences, Bucharest, Romania; University of Bucharest, 14 Academiei Street, 010014 Bucharest, Romania","Singer, F.M., University of Ploiesti, 39 Bucuresti Street, 100680 Ploiesti, Romania, Institute of Education Sciences, Bucharest, Romania; Voica, C., University of Bucharest, 14 Academiei Street, 010014 Bucharest, Romania","The links between the mathematical and cognitive models that interact during problem solving are explored with the purpose of developing a reference framework for designing problem-posing tasks. When the process of solving is a successful one, a solver successively changes his/her cognitive stances related to the problem via transformations that allow different levels of description of the initial wording. Within these transformations, the passage between successive phases of the problem-solving process determines four operational categories: decoding (transposing the text into more explicit relations among the data and the operating schemes, induced by the constraints of the problem), representing (transposing the problem via a generated mental model), processing (identifying an associated mathematical model based on the mental configurations suggested by the problem and own mathematical competence), and implementing (applying identified mathematical techniques to the particular situation of the problem, with the purpose of drafting a conventional solution). The study of this framework in action offers insights for more effective teaching and can be used in problem posing and problem analysis in order to devise questions more relevant for deep learning. © 2012 Springer Science+Business Media B.V.","Decoding; Implementing; Multiple choice questions; Problem posing; Problem solving; Processing; Representing",,"English",Article,"Final","",Scopus,2-s2.0-84876198952
"Bartell T.G., Webel C., Bowen B., Dyson N.","36712962200;54945336900;54942584100;54944152900;","Prospective teacher learning: Recognizing evidence of conceptual understanding",2013,"Journal of Mathematics Teacher Education","16","1",,"57","79",,44,"10.1007/s10857-012-9205-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84872647316&doi=10.1007%2fs10857-012-9205-4&partnerID=40&md5=ca5933c2d88c8323483fa86148644135","School of Education, University of Delaware, 16 W Main Street, 105D Willard Hall, Newark, DE, 19716, United States; Montclair State University, Montclair, NJ, United States; West Chester University, West Chester, PA, United States","Bartell, T.G., School of Education, University of Delaware, 16 W Main Street, 105D Willard Hall, Newark, DE, 19716, United States; Webel, C., Montclair State University, Montclair, NJ, United States; Bowen, B., West Chester University, West Chester, PA, United States; Dyson, N., School of Education, University of Delaware, 16 W Main Street, 105D Willard Hall, Newark, DE, 19716, United States","This study examined prospective teachers' (PSTs) ability to recognize evidence of children's conceptual understanding of mathematics in three content areas before and after an instructional intervention designed to support this ability. It also investigates the role PSTs' content knowledge plays in their ability to recognize children's mathematical understanding. Results of content knowledge assessments administered at the beginning of the study revealed that content knowledge did seem to support PSTs' analyses of children's understanding when the child's response demonstrated understanding or demonstrated a misconception. Content knowledge did not seem to support PSTs' analyses of children's procedural responses, as many PSTs with good content knowledge initially characterized procedural solutions as evidence of conceptual understanding. Similarly, content knowledge did not seem to support PSTs' analyses of children's responses with features commonly associated with understanding but not evidence of understanding. After the instructional intervention consisting of three multifaceted lessons in which PSTs examined many examples of student thinking, they showed improved ability to analyze responses with conceptual features and no evidence of conceptual understanding and responses demonstrating procedural knowledge. Results suggest that content knowledge is not sufficient for supporting PSTs' analysis of children's thinking, and that building activities such as the intervention into content courses may help develop this ability. Implications for teacher education programs and future research are considered. © 2012 Springer Science+Business Media B.V.","Conceptual understanding; Elementary teacher education; Knowledge for mathematics teaching",,"English",Article,"Final","",Scopus,2-s2.0-84872647316
"Turner E., Dominguez H., Maldonado L., Empson S.","12143629800;14629862600;55596657600;6505808019;","English learners' participation in mathematical discussion: Shifting positionings and dynamic identities",2013,"Journal for Research in Mathematics Education","44","1",,"199","234",,44,"10.5951/jresematheduc.44.1.0199","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84873876208&doi=10.5951%2fjresematheduc.44.1.0199&partnerID=40&md5=6e9a2c47f6a184783684cd051396d8aa","Teaching, Learning, and Sociocultural Studies, University of Arizona, 1430 E. Second Street, Tucson, AZ 85721, United States; Department of Teacher Education, Michigan State University, 116K Erickson Hall, East Lansing, MI 48824, United States; Curriculum and Instruction, University of Texas at Austin, 1 University Station, Austin, TX 78712-0379, United States","Turner, E., Teaching, Learning, and Sociocultural Studies, University of Arizona, 1430 E. Second Street, Tucson, AZ 85721, United States; Dominguez, H., Department of Teacher Education, Michigan State University, 116K Erickson Hall, East Lansing, MI 48824, United States; Maldonado, L., Curriculum and Instruction, University of Texas at Austin, 1 University Station, Austin, TX 78712-0379, United States; Empson, S., Curriculum and Instruction, University of Texas at Austin, 1 University Station, Austin, TX 78712-0379, United States","This study investigated discursive positioning moves that facilitated Latino/a English learners' (ELs) opportunities to take on agentive problem-solving roles in group mathematical discussion. A focus on mechanisms that support students' agentive participation is consistent with our view that recurrent experiences participating and being positioned in particular ways contribute to identity development. Findings suggest several ways that discursive positioning facilitated ELs' agentive participation, including via: (a) explicit statements that validated ELs' reasoning, (b) invitations to share, justify, or clarify thinking that positioned ELs as competent problem solvers, and (c) inviting peers to respond to an EL's idea in ways that positioned the idea as important and/or mathematically justified.","Bilingual issues; Discourse analysis; Elementary; English language learners; Equity/diversity; K-8; Language and mathematics",,"English",Article,"Final","",Scopus,2-s2.0-84873876208
"Xin Y.P.","35263234100;","The effect of schema-based instruction in solving mathematics word problems: An emphasis on prealgebraic conceptualization of multiplicative relations",2008,"Journal for Research in Mathematics Education","39","5",,"526","551",,44,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-56049087994&partnerID=40&md5=91349e376ffa8cf1e31e551b6314173a","Purdue University; Department of Educational Studies, Purdue University, 100 North University Street, West Lafayette, IN 47907-2098, United States","Xin, Y.P., Purdue University, Department of Educational Studies, Purdue University, 100 North University Street, West Lafayette, IN 47907-2098, United States","The purpose of this study was to examine the effects of a schema-based instructional strategy that emphasizes prealgebraic conceptualization of multiplicative relations on solving arithmetic word problems with elementary students with learning disabilities or problems (LP). Participants were 4 fifth graders with LP in a Midwestern urban public elementary school. An adapted multiple-probe-across-participants design was employed to assess the functional relation between the schema-based instructional strategy instruction and students' performance while solving word problems. The results of the study demonstrated the effectiveness of the schema-based instructional strategy with elementary students with LP. Introducing symbolic representation and algebraic thinking in earlier grades may facilitate a smoother transition from elementary to higher level mathematics learning and improve middle and high school mathematics performance.","Conceptual knowledge; Elementary, K-8; Instructional intervention; Learning disabled; Mathematical model; Multiplication, division; Prealgebra; Problem solving",,"English",Article,"Final","",Scopus,2-s2.0-56049087994
"Rowland T.","15731739300;","The purpose, design and use of examples in the teaching of elementary mathematics",2008,"Educational Studies in Mathematics","69","2",,"149","163",,44,"10.1007/s10649-008-9148-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-51549113775&doi=10.1007%2fs10649-008-9148-y&partnerID=40&md5=ac08d09347823dcd879fde0d1a972706","University of Cambridge, Cambridge, United Kingdom","Rowland, T., University of Cambridge, Cambridge, United Kingdom","This empirical paper considers the different purposes for which teachers use examples in elementary mathematics teaching, and how well the actual examples used fit these intended purposes. For this study, 24 mathematics lessons taught by prospective elementary school teachers were videotaped. In the spirit of grounded theory, the purpose of the analysis of these lessons was to discover, and to construct theories around, the ways that these novice teachers could be seen to draw upon their mathematics teaching knowledge-base in their lesson preparation and in their observed classroom instruction. A highly-pervasive dimension of the findings was these teachers' choice and use of examples. Four categories of uses of examples are identified and exemplified: these are related to different kinds of teacher awareness. © 2008 Springer Science+Business Media B.V.","Elementary; Examples; Mathematics; Teaching",,"English",Article,"Final","",Scopus,2-s2.0-51549113775
"Sahin A., Kulm G.","57209952709;8449661900;","Sixth grade mathematics teachers' intentions and use of probing, guiding, and factual questions",2008,"Journal of Mathematics Teacher Education","11","3",,"221","241",,44,"10.1007/s10857-008-9071-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-44649176536&doi=10.1007%2fs10857-008-9071-2&partnerID=40&md5=d4e98fb412bd4481369597f2b91f73f7","Teaching, Learning, and Culture Department, Texas A and M University, Harrington Tower, College Station, TX 77843, United States; Department of Mathematics Education, Texas A and M University, College Station, TX 77843, United States","Sahin, A., Teaching, Learning, and Culture Department, Texas A and M University, Harrington Tower, College Station, TX 77843, United States; Kulm, G., Department of Mathematics Education, Texas A and M University, College Station, TX 77843, United States","This case study of a first-year and an experienced teacher presents an analysis of the place and frequency of three types of questions: probing, guiding, and factual. We examined the use of these questions in the course of five lessons, in order to study the relationship between the part of the lesson and types of questions asked. In addition, we interviewed the teachers to gain insights into their reasons for asking different types of questions. Both teachers asked many more factual questions than other types of questions regardless of their teaching strategies. Both asked more probing questions during the summary part of the lessons than in other parts. The first year teacher asked more probing questions overall than the experienced teacher, except in a lesson in which the experienced teacher engaged student with manipulatives. Guiding questions were rarely used by either teacher. In the interviews, both teachers said asking higher order questions was important for better students' learning, even though they asked relatively few probing or guiding questions. Using the indicators we developed for question types, we found that the two teachers were aware of the functions of questions they used. Even after a considerable amount of time had elapsed, they were able to recall the lesson from a video clip and explain why they used questions with particular students or in a specific situation © Springer Science+Business Media B.V. 2008.","Factual; Guiding; Higher order questions; Intention; Probing questions; Teacher questioning",,"English",Article,"Final","",Scopus,2-s2.0-44649176536
"Çepni S., Keleş E.","16642100700;14828081800;","Turkish students' conceptions about the simple electric circuits",2006,"International Journal of Science and Mathematics Education","4","2",,"269","291",,44,"10.1007/s10763-005-9001-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33749438539&doi=10.1007%2fs10763-005-9001-z&partnerID=40&md5=5ca4c0e09d0e2a34f76a393cbd451997","Sogutlu, Trabzon 61335, Turkey","Çepni, S., Sogutlu, Trabzon 61335, Turkey; Keleş, E., Sogutlu, Trabzon 61335, Turkey","In this study, the Turkish students' understanding level of electric circuits consisting of two bulbs and one battery was investigated by using open-ended questions. Two-hundred fifty students, whose ages range from 11 to 22, were chosen from five different groups at primary, secondary and university levels in Trabzon in Turkey. In analyzing students' drawings and explanations, both qualitative and quantitative methodologies were exploited. The unipolar model (Model A), the clashing currents model (Model B), the current consumed model (Model C) and the scientist model with current conserved (Model D) determined from the related literature were used to categorize the students' answers. The results showed that the Turkish students have many misconceptions about electric circuits. Also, it is found out that especially Model A was widespread accepted among the students in group 1 (5th grade) and half of the students in group 3 (9th grade) has an understanding of electric circuits as it is in Model C. © National Science Council, Taiwan 2006.","Cross-age study; Electric circuits; Science education; Students' concepts",,"English",Article,"Final","",Scopus,2-s2.0-33749438539
"Tal T., Steiner L.","14523488100;57193174041;","Patterns of teacher‐museum staff relationships: School visits to the educational centre of a science museum",2006,"Canadian Journal of Science, Mathematics and Technology Education","6","1",,"25","46",,44,"10.1080/14926150609556686","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33847625687&doi=10.1080%2f14926150609556686&partnerID=40&md5=65c1696766ce81900f3869fa7e55e1b9","Department of Education in Technology and Science Technion, Israel","Tal, T., Department of Education in Technology and Science Technion, Israel; Steiner, L., Department of Education in Technology and Science Technion, Israel","The article describes a study of teachers’ and museum personnel’s perceptions of class visits to an education centre at a large science museum in Israel and follows up their communication and interactions before, during, and at the completion of a museum visit. We identified three levels of communication: administrative, content, and pedagogical‐content, and observed three patterns of teachers’ behaviour: involved, follows school's tradition and passive. A major difference was found with regards to the teachers’ school. Elementary school teachers tended to rely completely on the museum staff in planning the visit, and rarely prepared their students in advance or took an active part during the class visit. Secondary school teachers on the other hand, were found to be more active while planning the visit and during the class visit. The museum staff preferred more involved teachers, but did not make any explicit attempts to encourage the teachers to be more active. It appears that “the teachers get what they want” or what the museum staff believes the teachers want. © 2006 Taylor and Francis Group, LLC.",,,"English",Article,"Final","",Scopus,2-s2.0-33847625687
"Mesa V.","6602311807;","Characterizing practices associated with functions in middle school textbooks: An empirical approach",2004,"Educational Studies in Mathematics","56","2-3",,"255","286",,44,"10.1023/B:EDUC.0000040409.63571.56","https://www.scopus.com/inward/record.uri?eid=2-s2.0-4544301214&doi=10.1023%2fB%3aEDUC.0000040409.63571.56&partnerID=40&md5=bc8a6072e5d24db14f398f8fdbb76634","Ctr. for Res. on Lrng. and Teaching, 3300 School of Education, 610 E. Univ., Ann Arbor, M., United States","Mesa, V., Ctr. for Res. on Lrng. and Teaching, 3300 School of Education, 610 E. Univ., Ann Arbor, M., United States","Exercises and problems about functions found in 24 middle-school textbooks from 15 countries were analysed using an adaptation of Balacheff's theory of conceptions and Biehler's notion of the prototypical domain of application of concepts in order to describe the practices associated with the notion of function. The analysis yielded five different practices - symbolic rule, ordered pair, social data, physical phenomena, and controlling image - that were present both across and within the textbooks analysed. The existence of different practices might help to explain the compartmentalised and sometimes contradictory notions that students and teachers have about functions and might shed light on the processes of designing curriculum and instruction on functions.","conceptions; functions; middle school; practices; textbook analysis",,"English",Article,"Final","",Scopus,2-s2.0-4544301214
"Vale C.M., Leder G.C.","7005266082;7005172813;","Student views of computer-based mathematics in the middle years: Does gender make a difference?",2004,"Educational Studies in Mathematics","56","2-3",,"287","312",,44,"10.1023/B:EDUC.0000040411.94890.56","https://www.scopus.com/inward/record.uri?eid=2-s2.0-4544272526&doi=10.1023%2fB%3aEDUC.0000040411.94890.56&partnerID=40&md5=ae1ff2d680691ad51e676dd3902b0b39","School of Education, Faculty of Human Development, Victoria Univ., P.O. Box 14428, M., Australia; Institute for Advanced Study, La Trobe University, Bundoora, Victoria, Australia, 3086, Australia","Vale, C.M., School of Education, Faculty of Human Development, Victoria Univ., P.O. Box 14428, M., Australia; Leder, G.C., Institute for Advanced Study, La Trobe University, Bundoora, Victoria, Australia, 3086, Australia","How the use of computers in mathematics classrooms was viewed by students in two middle years mathematics classrooms was the focus of the research described in this paper. The primary data sources consisted of questionnaires, classroom observations supported by videotaping of mathematics lessons, and interviews with two girls and two boys from each class. Thus both qualitative and quantitative methods were used. Girls viewed the computer-based lessons less favourably than did boys. In general, the boys were likely to believe that computers contributed to their experiencing pleasure in these lessons, and to making mathematics more relevant to them. Girls were typically more concerned about whether computers facilitated learning and enabled success in mathematics. The attitudes of students to computer-based mathematics were related to their views of computers.","affect; attitudes; computer-based mathematics; gender; junior secondary; middle years of schooling; technology",,"English",Article,"Final","",Scopus,2-s2.0-4544272526
"Dekker R., Elshout-Mohr M.","7103035197;6506650502;","Teacher interventions aimed at mathematical level raising during collaborative learning",2004,"Educational Studies in Mathematics","56","1",,"39","65",,44,"10.1023/B:EDUC.0000028402.10122.ff","https://www.scopus.com/inward/record.uri?eid=2-s2.0-3543041896&doi=10.1023%2fB%3aEDUC.0000028402.10122.ff&partnerID=40&md5=250e02761c3348f3edfb55de350ee053","Universiteit van Amsterdam, Grad. Sch. of Teaching and Learning, Wibautstraat 2-4, 1091 GM Amsterdam, Netherlands","Dekker, R., Universiteit van Amsterdam, Grad. Sch. of Teaching and Learning, Wibautstraat 2-4, 1091 GM Amsterdam, Netherlands; Elshout-Mohr, M.","This article addresses the issue of helping students who work collaboratively on mathematical problems with the aim of raising the level of their mathematical understanding and competence. We investigated two kinds of teacher interventions aimed at helping students. The rationale of these interventions was based on a process model for interaction and mathematical level raising. One kind of interventions focused on the interaction between the students, the other - on the mathematical content of the tasks. The effects of the two kinds of interventions were investigated using a pre-test - post-test comparison of students' learning outcomes and analyzing the transcripts of students' verbal utterances and worksheets. Our analyses point to interventions focused on students' interactions as more effective in terms of students' learning outcomes. Theoretical and practical implications of the research are discussed.","Collaborative learning; Interaction; Mathematical level raising; Teacher intervention",,"English",Article,"Final","All Open Access, Green",Scopus,2-s2.0-3543041896
"Roth W.-M., Désautels J.","57203214233;25026685400;","Educatingfor citizenship: Reappraising the role of science education",2004,"Canadian Journal of Science, Mathematics and Technology Education","4","2",,"149","168",,44,"10.1080/14926150409556603","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85011491926&doi=10.1080%2f14926150409556603&partnerID=40&md5=958c1fbb5aa9ac5a0194921176d22337","University of Victoria, Canada; Université de Laval, Canada","Roth, W.-M., University of Victoria, Canada; Désautels, J., Université de Laval, Canada","New discoveries and technological inventions render the world increasingly complex. Fostering students’ scientific and technological literacy has, therefore, become a primary goal for many science educators. Yet the concept of scientific literacy is itself not at all clear. In this article, we contest the dominant approach, which defines scientific literacy in termsof what scientists produce or do. We argue that a more viable approach begins by framing a more general project of (democratic) citizenship and asks what kind of scientific literacy can contribute to this project. The different parts of ourargument are illustrated with data from a three‐year ethnographic study of science in onecommunity. These data feature adult residents who were dealing with the contested issue of whether or not to extend the existing water main in order to supply with water a part of the community that, at the time, had to rely on seasonally contaminated wells. Irrespective of their sciencebackground, these citizens engaged scientists. We argue that educating for citizenship presupposes participation in democratic processes, a stance that has considerable implications for science education. © 2004 Taylor and Francis Group, LLC.",,,"English",Article,"Final","",Scopus,2-s2.0-85011491926
"Stylianides A.J., Stylianides G.J., Philippou G.N.","16310467900;8680948100;7004020024;","Undergraduate students' understanding of the contraposition equivalence rule in symbolic and verbal contexts",2004,"Educational Studies in Mathematics","55","1-3",,"133","162",,44,"10.1023/B:EDUC.0000017671.47700.0b","https://www.scopus.com/inward/record.uri?eid=2-s2.0-3543025771&doi=10.1023%2fB%3aEDUC.0000017671.47700.0b&partnerID=40&md5=14b60ecd9f55421be7e088e089d21158","University of Michigan, School of Education, 610 East University Avenue, Ann Arbor, MI 48109-1259, United States; University of Cyprus, Department of Education, P.O. Box 20537, 1678 Nicosia, Cyprus","Stylianides, A.J., University of Michigan, School of Education, 610 East University Avenue, Ann Arbor, MI 48109-1259, United States; Stylianides, G.J., University of Michigan, School of Education, 610 East University Avenue, Ann Arbor, MI 48109-1259, United States; Philippou, G.N., University of Cyprus, Department of Education, P.O. Box 20537, 1678 Nicosia, Cyprus","Literature suggests that the type of context wherein a task is placed relates to students' performance and solution strategies. In the particular domain of logical thinking, there is the belief that students have less difficulty reasoning in verbal than in logically equivalent symbolic tasks. Thus far, this belief has remained relatively unexplored in the domain of teaching and learning of mathematics, and has not been examined with respect to students' major field of study. In this study, we examined the performance of 95 senior undergraduate mathematics and education majors in symbolic and verbal tasks about the contraposition equivalence rule. The selection of two different groups of participants allowed for the examination of the hypothesis that students' major may influence the relation between their performance in tasks about contraposition and the context (symbolic/verbal) wherein this is placed. The selection of contraposition equivalence rule also addressed a gap in the body of research on undergraduate students' understanding of proof by contraposition. The analysis was based on written responses of all participants to specially developed tasks and on semi-structured interviews with 11 subjects. The findings showed different variations in the performance of each of the two groups in the two contexts. While education majors performed significantly better in the verbal than in the symbolic tasks, mathematics majors' performance showed only modest variations. The results call for both major- and context-specific considerations of students' understanding of logical principles, and reveal the complexity of the system of factors that influence students' logical thinking.","Contraposition equivalence rule; Logic; Proof; Reasoning; Reasoning domains; Undergraduate education",,"English",Article,"Final","All Open Access, Green",Scopus,2-s2.0-3543025771
"Przenioslo M.","8851823200;","Images of the limit of function formed in the course of mathematical studies at the university",2004,"Educational Studies in Mathematics","55","1-3",,"103","132",,44,"10.1023/B:EDUC.0000017667.70982.05","https://www.scopus.com/inward/record.uri?eid=2-s2.0-3543016184&doi=10.1023%2fB%3aEDUC.0000017667.70982.05&partnerID=40&md5=f76d03314d25c4fba62051d6d23ee89f","Akademia Swietokrzyska, Instytut Matematyki, ul. Swietokrzyska 15, 25-406 Kielce, Poland","Przenioslo, M., Akademia Swietokrzyska, Instytut Matematyki, ul. Swietokrzyska 15, 25-406 Kielce, Poland","The paper is based on extensive research carried out on students of mathematics who had completed a university course of calculus. The basic purpose of the research was to determine the students' images of the concept of limit, that is to find out their associations, conceptions and intuitions connected with limits and to determine the degree of their efficiency and the sources of their formation. To achieve the objectives an expanded set of selected problems - simple but not quite standard - and various other research instruments were used. Several classes of images of the limit concept have been identified and described, according to their main foci: neighborhoods, graph approaching, values approaching, being defined at x0, limit of f at x0 equals f(x0), and algorithms.","Concept definition; Concept image; Limit of a function; Limit of a sequence; Teaching; Understanding; University students",,"English",Article,"Final","",Scopus,2-s2.0-3543016184
"Recio A.M., Godino J.D.","25026533200;8969497100;","Institutional and personal meanings of mathematical proof",2001,"Educational Studies in Mathematics","48","1",,"83","99",,44,"10.1023/A:1015553100103","https://www.scopus.com/inward/record.uri?eid=2-s2.0-3543003812&doi=10.1023%2fA%3a1015553100103&partnerID=40&md5=da5dfe2478ae02a3d43162017a473bb5","Departamento de Matemáticas, Facultad de Ciencias de la Educación, C/ Priego de Córdoba, 4, 14013-Córdoba, Spain; Departamento de Didáctica de la Matemática, Facultad de Ciencias de la Educación, Campus de Cartuja, 18071 Granada, Spain","Recio, A.M., Departamento de Matemáticas, Facultad de Ciencias de la Educación, C/ Priego de Córdoba, 4, 14013-Córdoba, Spain; Godino, J.D., Departamento de Didáctica de la Matemática, Facultad de Ciencias de la Educación, Campus de Cartuja, 18071 Granada, Spain","Although studies on students' difficulties in producing mathematical proofs have been carried out in different countries, few research workers have focussed their attention on the identification of mathematical proof schemes in university students. This information is potentially useful for secondary school teachers and university lecturers. In this article, we study mathematical proof schemes of students starting their studies at the University of Cordoba (Spain) and we relate these schemes to the meanings of mathematical proof in different institutional contexts: daily life, experimental sciences, professional mathematics, logic and foundations of mathematics. The main conclusion of our research is the difficulty of the deductive mathematical proof for these students. Moreover, we suggest that the different institutional meanings of proof might help to explain this difficulty. © 2002 Kluwer Academic Publishers.",,,"English",Article,"Final","",Scopus,2-s2.0-3543003812
"Gray E., Pinto M., Pitta D., Tall D.","7202039414;25122662600;12752685600;6602489888;","Knowledge construction and diverging thinking in elementary & advanced mathematics",1999,"Educational Studies in Mathematics","38","1-3",,"111","133",,44,"10.1007/978-94-017-1584-3_6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-17444404993&doi=10.1007%2f978-94-017-1584-3_6&partnerID=40&md5=dc62367596e613ac2adf10bb8bd189a4","Mathematics Education Research Centre, University of Warwick, Coventry CV4 7AL, United Kingdom","Gray, E., Mathematics Education Research Centre, University of Warwick, Coventry CV4 7AL, United Kingdom; Pinto, M., Mathematics Education Research Centre, University of Warwick, Coventry CV4 7AL, United Kingdom; Pitta, D., Mathematics Education Research Centre, University of Warwick, Coventry CV4 7AL, United Kingdom; Tall, D., Mathematics Education Research Centre, University of Warwick, Coventry CV4 7AL, United Kingdom","This paper begins by considering the cognitive mechanisms available to individuals which enable them to operate successfully in different parts of the mathematics curriculum. We base our theoretical development on fundamental cognitive activities, namely, perception of the world, action upon it and reflection on both perception and action. We see an emphasis on one or more of these activities leading not only to different kinds of mathematics, but also to a spectrum of success and failure depending on the nature of the focus in the individual activity. For instance, geometry builds from the fundamental perception of figures and their shape, supported by action and reflection to move from practical measurement to theoretical deduction and euclidean proof. Arithmetic, on the other hand, initially focuses on the action of counting and later changes focus to the use of symbols for both the process of counting and the concept of number. The evidence that we draw together from a number of studies on children's arithmetic shows a divergence in performance. The less successful seem to focus more on perceptions of their physical activities than on the flexible use of symbol as process and concept appropriate for a conceptual development in arithmetic and algebra. Advanced mathematical thinking introduces a new feature in which concept definitions are formulated and formal concepts are constructed by deduction. We show how students cope with the transition to advanced mathematical thinking in different ways leading once more to a diverging spectrum of success. © 1999 Kluwer Academic Publishers.",,,"English",Article,"Final","All Open Access, Green",Scopus,2-s2.0-17444404993
"Dowling P.","25222742500;","A sociological analysis of school mathematics texts",1996,"Educational Studies in Mathematics","31","4",,"389","415",,44,"10.1007/BF00369156","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000643253&doi=10.1007%2fBF00369156&partnerID=40&md5=616b8fa05c7ce1594eeb6738c8c7383a","Culture Communication and Societies, Institute of Education, University of London, 20 Bedford Way, London WC1H 0AL, United Kingdom","Dowling, P., Culture Communication and Societies, Institute of Education, University of London, 20 Bedford Way, London WC1H 0AL, United Kingdom","In this paper I introduce some of the central features of a theoretical framework - a language of description - which has been developed for the sociological analysis of school texts, in particular, school mathematics texts. My approach is to introduce the language through the practical description of extracts from the texts which were analysed in its development. This also allows me to make some empiricial claims about the texts themselves and, insofar as they are representative of the wider practice, of school mathematics, at least in England and Wales. At the end of the paper, I also give some indication of how the language of description is articulated with broader sociological issues. © 1996 Kluwer Academic Publishers.",,,"English",Article,"Final","",Scopus,2-s2.0-0000643253
"Gray E.M.","7202039414;","An analysis of diverging approaches to simple arithmetic: Preference and its consequences",1991,"Educational Studies in Mathematics","22","6",,"551","574",,44,"10.1007/BF00312715","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0042419454&doi=10.1007%2fBF00312715&partnerID=40&md5=30a4cbfde2f07917ef977536962dbfe9","Mathematics Education Research Centre, Science Education Department, University of Warwick, Coventry, CV4 7AL, United Kingdom","Gray, E.M., Mathematics Education Research Centre, Science Education Department, University of Warwick, Coventry, CV4 7AL, United Kingdom","Earlier research by the author indicated that many below average attainers do not remember number facts and use alternative strategies to obtain solutions to basic arithmetical problems. These alternatives were frequently seen as the 'best way' of finding a solution. This paper considers the relationship between the various strategies used by mixed ability children aged 7 to 12. An analysis of alternatives suggests that the selection is not underpinned by regression through the learning sequence, but by regression dominated by the child's preference for certain strategies over others. Through the evaluation of a hierarchy of preferences, divergence between the strategies available to the less able and the more able child is revealed. The alternative strategies used are based either on counting - procedural strategies, or on the use of selected known knowledge - deductive strategies. Above average children have both available as alternatives; evidence of deduction is rare amongst below average children. The more able child appears to build up a growing body of known facts from which new known facts are deduced. Less able children - relying mainly on procedural strategies - do not appear to have this feedback loop available to them. The paper contends that, for some children, procedural methods do not encourage the need to remember; the procedure provides security. On the other hand, deductive methods initially enhance the ability to remember other basic facts and eventually help children make extensive use of facts that are known to remove the need to remember new ones. More able children appear to be doing a qualitatively different sort of mathematics than the less able. © 1991 Kluwer Academic Publishers.",,,"English",Article,"Final","",Scopus,2-s2.0-0042419454
"English L.D.","7006650920;","Young children's combinatoric strategies",1991,"Educational Studies in Mathematics","22","5",,"451","474",,44,"10.1007/BF00367908","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0011492616&doi=10.1007%2fBF00367908&partnerID=40&md5=3108afdfb182c2e068d0272c4be4e12b","Centre for Mathematics and Science Education, Queensland University of Technology, Zillmere, Brisbane, 4034, Queensland, Australia","English, L.D., Centre for Mathematics and Science Education, Queensland University of Technology, Zillmere, Brisbane, 4034, Queensland, Australia","Children aged between 4 years 6 months and 9 years 10 months were individually administered a series of novel tasks involving the formation of different combinations of two items, selected from discrete sets of items. An analysis of the children's performance revealed a series of six, increasingly sophisticated, solution strategies ranging from a random selection of items through to a systematic pattern in item choice (cf. Piaget and Inhelder's, 1975, combinatoric operations). A significant number of children independently adopted more efficient solution procedures as they progressed on the tasks, with many displaying an algorithmic procedure reflecting the ""odometer strategy"" (holding one item constant while systematically varying each of the other items). Given that children as young as 7 years demonstrated this systematic strategy, it would appear that, within the appropriate learning environment, young children can discover a procedure for forming n x n combinations prior to the stage of formal operations postulated by Piaget and Inhelder. The findings support the inclusion of the combinatorial domain as a topic of investigation in the elementary school curriculum. © 1991 Kluwer Academic Publishers.",,,"English",Article,"Final","",Scopus,2-s2.0-0011492616
